"window","start","end","n_edges","n_possible","retention_rate","fdr_alpha"
1,"2001-01-03","2002-03-28",0,552,0,NA
2,"2002-04-02","2003-06-24",0,552,0,NA
3,"2003-06-25","2004-09-15",0,552,0,NA
4,"2004-09-16","2005-12-06",0,552,0,NA
5,"2005-12-07","2007-02-27",0,552,0,NA
6,"2007-02-28","2008-05-28",0,552,0,NA
7,"2008-05-29","2009-08-21",0,552,0,NA
8,"2009-08-25","2010-11-11",0,552,0,NA
9,"2010-11-12","2012-02-03",0,552,0,NA
10,"2012-02-07","2013-05-01",0,552,0,NA
11,"2013-05-02","2014-07-24",0,552,0,NA
12,"2014-07-25","2015-10-15",0,552,0,NA
13,"2015-10-16","2017-01-06",0,552,0,NA
14,"2017-01-10","2018-04-03",0,552,0,NA
15,"2018-04-04","2019-07-03",0,552,0,NA
16,"2019-07-04","2020-09-23",0,552,0,NA
17,"2020-09-24","2021-12-09",0,552,0,NA
18,"2021-12-10","2023-02-23",0,552,0,NA
19,"2023-02-24","2024-05-15",0,552,0,NA
20,"2024-05-16","2025-08-07",0,552,0,NA
